Number,Title,Author,Year,Publisher,Published City,ISBN,DOI
113,"Black Baza (Aviceda leuphotes), version 1.0.","Clark, W. S. and G. M. Kirwan ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.blabaz1.01
114,"Lesser Scaup (Aythya affinis), version 1.0.","Anteau, M. J., J. DeVink, D. N. Koons, J. E. Austin, C. M. Custer, and A. D. Afton ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.lessca.01
115,"Ring-necked Duck (Aythya collaris), version 1.0.","Roy, C. L., C. M. Herwig, W. L. Hohman, and R. T. Eberhardt ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.rinduc.01
116,Branta ruficollis (amended version of 2017 assessment). The IUCN Red List of Threatened Species 2017: e.T22679954A118577901.,BirdLife International,2017,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2017-3.RLTS.T22679954A118577901.en
117,"Red-breasted Goose (Branta ruficollis), version 1.0. ","Carboneras, C., G. M. Kirwan, and C. J. Sharpe",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.rebgoo1.01
118,Cacomantis merulinus. The IUCN Red List of Threatened Species 2016: e.T22683923A93007953.,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22683923A93007953.en. 
119,"Plaintive Cuckoo (Cacomantis merulinus), version 1.0.","Payne, R. B. and G. M. Kirwan",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.placuc1.01
120,Culicicapa ceylonensis. The IUCN Red List of Threatened Species 2016: e.T22709596A94215839.,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22709596A94215839.en
121,"Gray-headed Canary-Flycatcher (Culicicapa ceylonensis), version 1.0.","Clement, P.",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.gyhcaf1.01
122,Elanus caeruleus. The IUCN Red List of Threatened Species 2019: e.T22695028A152521997. ,BirdLife International,2017,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2019-3.RLTS.T22695028A152521997.en.
123,"Black-winged Kite (Elanus caeruleus), version 1.0.","Kemp, A. C., G. M. Kirwan, J. S. Marks, A. Motis, and E. F. J. Garcia",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.bkskit1.01
124,"Tibetan Lark (Melanocorypha maxima), version 1.0","Alström, P. ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.tiblar1.01
125,Unravelling species co-occurrence in a steppe bird community of Inner Mongolia: Insights for the conservation of the endangered Jankowski’s Bunting. ,"Han, Z, Zhang, L, Jiang, Y, Wang, H, Jiguet, F. ",2020,Divers Distrib.,,,10.1111/ddi.13061
126,Melanocorypha mongolica. The IUCN Red List of Threatened Species 2016: e.T22717295A94526964. ,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22717295A94526964.en. 
127,"Brown-breasted Flycatcher (Muscicapa muttui), version 1.0.","Clement, P.",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.brbfly2.01
128,Muscicapa muttui. The IUCN Red List of Threatened Species 2016: e.T22709220A94197748.,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22709220A94197748.en. 
